BIOS 23406,"B. Patterson (odd years, lab). L., Heaney (even years, discussion)"
BIOS 23409,G. Dwyer
BIOS 23410,T. Lumbsch
BIOS 23411,S. Cobey
BIOS 24203,"X. Zhuang, M. Sherman, E. Grove"
BIOS 24204,"P. Lloyd, A. Fox. "
BIOS 24205,"M. Hale, D. Freedman"
BIOS 24206,J. MacLean
BIOS 24208,L. Osborne.
BIOS 24209,E. Schwartz
BIOS 24217,J. Moss
BIOS 24218,S. Sisodia
BIOS 24231,S. Bensmaia
BIOS 24232,N. Hatsopoulos
BIOS 24239,P. Lloyd
BIOS 24246,"C. Gomez, Staff"
BIOS 24247,"C. Gomez, Staff"
BIOS 24408,W. van Drongelen     
BIOS 25108,"M. Rosner, W. Du"
BIOS 25109,"G. Greene, D. Vander Griend"
BIOS 25126,"G. Langan, M. Niekrasz"
BIOS 25129,S. Dulawa
BIOS 25206,D. Missiakas
BIOS 25216,H. Shuman
BIOS 25226,"M. Brady, R. Cohen"
BIOS 25227,"M. Brady, R. Cohen"
BIOS 25228,"Y. C. Li, M. Musch"
BIOS 25256,A. Bendelac
BIOS 25258,B. Jabri
BIOS 25260,A. Chervonsky
BIOS 25266,E. Adams
BIOS 25287,"T. Golovkina, B. Roizman"
BIOS 25308,K. MacLeod
BIOS 25309,C. Rinker-Schaeffer
BIOS 25310,"M. E. Dolan, R. S. Huang     "
BIOS 25320,J. Chen
BIOS 25407,A. Chong
BIOS 25419,"M. David, J. Schneider"
BIOS 26120,E. Haddadian
BIOS 26210,D. Kondrashov
BIOS 26211,D. Kondrashov
BIOS 27700,"E. Schwartz, A. Hammond"
BIOS 28407,Y. Gilad
BIOS 02280,"M. Dietler, W. Green"
BIOS 02490,"H. Pollack, J. Schneider"
BIOS 29100,R. Mcleod
BIOS 29270,K. Matlin
BIOS 29279,C. S. Olopade
BIOS 29280,K. Keenan
BIOS 29286,"W. Wimsatt, S. Mufwene"
BIOS 29294,"J. Schneider, C. S. Olopade"
BIOS 29300,L. Kay
BIOS 29313,"D. Brudney, Staff"
BIOS 29317,L. Kurina
BIOS 29318,B. Lahey
BIOS 29319,"J. A. Shapiro, M. Long"
BIOS 29321,S. Meredith
BIOS 29323,"E. Lyon, H. Saussy"
BIOS 29324,"J. Cacioppo, L. Hawkley"
BIOS 29326,"S. Armato, P. La Riviere, C. Pelizzari"
BIOS 00199,L. Mets
BIOS 00206,Unknown
BIOS 00289,"S. Kron, Staff"
BIOS 00290,"S. Kron, Staff"
BIOS 00291,"S. Kron, Staff"
BIOS 00292,"S. Kron, Staff"
BIOS 00295,"Honors Faculty, Staff"
BIOS 00296,S. Kron
BIOS 00299,L. Mets
CHEM 00111,B. Ratliff
CHEM 00112,B. Ratliff
CHEM 00113,B. Ratliff
CHEM 00220,B. Ratliff
CHEM 00221,B. Ratliff
CHEM 00222,B. Ratliff
CHEM 10100,Staff. L: M. Zhao.
CHEM 10200,Staff. L: M. Zhao.
CHEM 11300,"J. Piccirilli, Y. Weizmann. L: M. Zhao"
CHEM 11100,"K.Y.C. Lee, D. Mazziotti. L: M. Zhao"
CHEM 11200,"A. Dinner, G. Engel. L: M. Zhao."
CHEM 11300,"J. Piccirilli, Y. Weizmann. L: M. Zhao"
CHEM 12100,L. Butler. L: M. Zhao
CHEM 12200,N. Scherer.  L: M. Zhao
CHEM 12300,G. Voth. L: M. Zhao
CHEM 20100,G. Hillhouse
CHEM 20200,R. Jordan
CHEM 22000,J. Yin. L: V. Keller
CHEM 22100,J. Yin.  L: V. Keller
CHEM 22200,J. Lewis. L: V. Keller
CHEM 22700,M. Hopkins
CHEM 23000,L. Yu. L: V. Keller
CHEM 23100,S. Kozmin. L: V. Keller
CHEM 23200,L. Yu.  L: V. Keller
CHEM 23300,Y. Weizmann
CHEM 26100,P. Guyot-Sionnest
CHEM 26200,K. Y. C. Lee
CHEM 26300,L. Butler
CHEM 26700,N. Scherer
CHEM 26800,A. Dinner
CHEM 29600,G. Hillhouse
CHEM 29900,Unknown
CHEM 30100,W. Lin
CHEM 30200,W. Lin
CHEM 30400,J. Lewis
CHEM 30500,B. Tian
CHEM 30600,D. Talapin
CHEM 30900,C. He
CHEM 31100,Unknown
CHEM 32100,L. Yu
CHEM 32200,S. Kozmin
CHEM 32300,V. Rawal
CHEM 32400,Unknown
CHEM 32500,Unknown
CHEM 32900,Unknown
CHEM 33000,Unknown
CHEM 33100,Unknown
CHEM 33200,B. Dickinson
CHEM 33300,R. Moellering
CHEM 33400,Unknown
CHEM 36100,L. Butler
CHEM 36200,G. Voth
CHEM 36300,S. Vaikuntanathan
CHEM 36400,D. Mazziotti
CHEM 36500,S. Sibener
CHEM 36800,K. Freed
CHEM 36900,Unknown
CHEM 37100,Unknown
CHEM 37200,Unknown
CHEM 38700,Unknown
CHEM 51100,Unknown
ANTH 21201,M. Dietler
ARTH 17400,K. Taylor
ARTV 23930,J. Hoffman
BPRO 21500,"R. Schultz, M. Browning."
CMST 21801,J. Hoffman
ECON 26600,"G. Tolley, K. Ierulli"
ECON 28100,A. Sanderson
ENGL 22800,J. Knight
ENGL 25952,A. Brown
ENGL 25953,P. Jagoda
ENST 27300,R. Keller
GEOG 23500,M. Conzen
GEOG 26100,M. Conzen
HIST 27705,A. Green
HIST 29613,K. Conzen
PBPL 25405,C. Broughton
PBPL 28501,C. Harris
SOSC 25501,Unknown
SOSC 25502,Unknown
SOSC 25503,Unknown
SOCI 20142,A. Abbott
SOCI 20215,K. Cagney
TAPS 24500,H. Coleman
CMST 10100,"Y. Tsivian, Staff"
CMST 10300,Unknown
CMST 14503,D. Bluher
CMST 21020,J. Stewart
CMST 21801,J. Hoffman
CMST 21810,T. Gunning
CMST 23202,R. West
CMST 23404,J. Wild
CMST 23904,J. Hoffman
CMST 23905,J. Hoffman
CMST 23930,J. Hoffman
CMST 23931,J. Hoffman
CMST 24106,R. Majumdar
CMST 24204,L. Kruger
CMST 24400,Kinga Kosmala
CMST 24612,X. Dong
CMST 24620,H. Park
CMST 24914,R. Davis
CMST 25204,M. Browning
CMST 25215,T. Abramov
CMST 25521,Malynne Sternstein
CMST 26302,X. Dong
CMST 26404,H. Frank
CMST 26610,Y. Tsivian
CMST 26810,D. Bluher
CMST 27210,D. Bluher
CMST 27220,D.N. Rodowick
CMST 27230,D.N. Rodowick
CMST 27600,"S. Huffman, L. Letinsky"
CMST 27810,D. Morgan
CMST 28005,K. Pandian
CMST 28100,Unknown
CMST 28500,T. Gunning
CMST 28600,T. Gunning
CMST 28801,J. Salavon
CMST 28903,S. Wolniak
CMST 29004,"D. N. Rodowick, V. Burgin"
CMST 29700,Unknown
CMST 29800,J. Wild
